"Tabela 283 - Produção vegetal e Área colhida dos estabelecimentos agropecuários por tipo de produção vegetal - série histórica (1920/2006)"
"Ano","region","Variável","Valor"
"1920","Brasil","Produção vegetal (Toneladas)","-"
"1920","Brasil","Área colhida (Hectares)","-"
"1920","Norte","Produção vegetal (Toneladas)","..."
"1920","Norte","Área colhida (Hectares)","..."
"1920","Nordeste","Produção vegetal (Toneladas)","..."
"1920","Nordeste","Área colhida (Hectares)","..."
"1920","Sudeste","Produção vegetal (Toneladas)","..."
"1920","Sudeste","Área colhida (Hectares)","..."
"1920","Sul","Produção vegetal (Toneladas)","..."
"1920","Sul","Área colhida (Hectares)","..."
"1920","Centro-Oeste","Produção vegetal (Toneladas)","..."
"1920","Centro-Oeste","Área colhida (Hectares)","..."
"1940","Brasil","Produção vegetal (Toneladas)","1928"
"1940","Brasil","Área colhida","..."
"1940","Norte","Produção vegetal (Toneladas)","..."
"1940","Norte","Área colhida","..."
"1940","Nordeste","Produção vegetal (Toneladas)","..."
"1940","Nordeste","Área colhida","..."
"1940","Sudeste","Produção vegetal (Toneladas)","..."
"1940","Sudeste","Área colhida","..."
"1940","Sul","Produção vegetal (Toneladas)","..."
"1940","Sul","Área colhida","..."
"1940","Centro-Oeste","Produção vegetal (Toneladas)","..."
"1940","Centro-Oeste","Área colhida","..."
"1950","Brasil","Produção vegetal (Toneladas)","45023"
"1950","Brasil","Área colhida (Hectares)","-"
"1950","Norte","Produção vegetal (Toneladas)","..."
"1950","Norte","Área colhida (Hectares)","..."
"1950","Nordeste","Produção vegetal (Toneladas)","..."
"1950","Nordeste","Área colhida (Hectares)","..."
"1950","Sudeste","Produção vegetal (Toneladas)","..."
"1950","Sudeste","Área colhida (Hectares)","..."
"1950","Sul","Produção vegetal (Toneladas)","..."
"1950","Sul","Área colhida (Hectares)","..."
"1950","Centro-Oeste","Produção vegetal (Toneladas)","..."
"1950","Centro-Oeste","Área colhida (Hectares)","..."
"1960","Brasil","Produção vegetal (Toneladas)","216033"
"1960","Brasil","Área colhida (Hectares)","-"
"1960","Norte","Produção vegetal (Toneladas)","..."
"1960","Norte","Área colhida (Hectares)","..."
"1960","Nordeste","Produção vegetal (Toneladas)","..."
"1960","Nordeste","Área colhida (Hectares)","..."
"1960","Sudeste","Produção vegetal (Toneladas)","..."
"1960","Sudeste","Área colhida (Hectares)","..."
"1960","Sul","Produção vegetal (Toneladas)","..."
"1960","Sul","Área colhida (Hectares)","..."
"1960","Centro-Oeste","Produção vegetal (Toneladas)","..."
"1960","Centro-Oeste","Área colhida (Hectares)","..."
"1970","Brasil","Produção vegetal (Toneladas)","1884227"
"1970","Brasil","Área colhida (Hectares)","2185832"
"1970","Norte","Produção vegetal (Toneladas)","1"
"1970","Norte","Área colhida (Hectares)","8"
"1970","Nordeste","Produção vegetal (Toneladas)","23"
"1970","Nordeste","Área colhida (Hectares)","60"
"1970","Sudeste","Produção vegetal (Toneladas)","94723"
"1970","Sudeste","Área colhida (Hectares)","72803"
"1970","Sul","Produção vegetal (Toneladas)","1764912"
"1970","Sul","Área colhida (Hectares)","2086248"
"1970","Centro-Oeste","Produção vegetal (Toneladas)","24568"
"1970","Centro-Oeste","Área colhida (Hectares)","26714"
"1975","Brasil","Produção vegetal (Toneladas)","8721274"
"1975","Brasil","Área colhida (Hectares)","5656928"
"1975","Norte","Produção vegetal (Toneladas)","66"
"1975","Norte","Área colhida (Hectares)","283"
"1975","Nordeste","Produção vegetal (Toneladas)","173"
"1975","Nordeste","Área colhida (Hectares)","465"
"1975","Sudeste","Produção vegetal (Toneladas)","677492"
"1975","Sudeste","Área colhida (Hectares)","397285"
"1975","Sul","Produção vegetal (Toneladas)","7793384"
"1975","Sul","Área colhida (Hectares)","5075155"
"1975","Centro-Oeste","Produção vegetal (Toneladas)","250160"
"1975","Centro-Oeste","Área colhida (Hectares)","183740"
"1980","Brasil","Produção vegetal (Toneladas)","12757962"
"1980","Brasil","Área colhida (Hectares)","7783706"
"1980","Norte","Produção vegetal (Toneladas)","26"
"1980","Norte","Área colhida (Hectares)","37"
"1980","Nordeste","Produção vegetal (Toneladas)","940"
"1980","Nordeste","Área colhida (Hectares)","1235"
"1980","Sudeste","Produção vegetal (Toneladas)","1205671"
"1980","Sudeste","Área colhida (Hectares)","632261"
"1980","Sul","Produção vegetal (Toneladas)","10041462"
"1980","Sul","Área colhida (Hectares)","6266727"
"1980","Centro-Oeste","Produção vegetal (Toneladas)","1509861"
"1980","Centro-Oeste","Área colhida (Hectares)","883444"
"1985","Brasil","Produção vegetal (Toneladas)","16730087"
"1985","Brasil","Área colhida (Hectares)","9434686"
"1985","Norte","Produção vegetal (Toneladas)","31654"
"1985","Norte","Área colhida (Hectares)","28838"
"1985","Nordeste","Produção vegetal (Toneladas)","69167"
"1985","Nordeste","Área colhida (Hectares)","60205"
"1985","Sudeste","Produção vegetal (Toneladas)","1590984"
