"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","Brasil e Grande Região","Variável","Valor"
"setembro 2006","Brasil","Área colhida (Hectares)","22010658"
"setembro 2006","Brasil","Produção (Toneladas)","52381672"
"setembro 2006","Norte","Área colhida (Hectares)","478545"
"setembro 2006","Norte","Produção (Toneladas)","1189290"
"setembro 2006","Nordeste","Área colhida (Hectares)","1487495"
"setembro 2006","Nordeste","Produção (Toneladas)","3466628"
"setembro 2006","Sudeste","Área colhida (Hectares)","1661713"
"setembro 2006","Sudeste","Produção (Toneladas)","4102125"
"setembro 2006","Sul","Área colhida (Hectares)","8133640"
"setembro 2006","Sul","Produção (Toneladas)","17732952"
"setembro 2006","Centro-Oeste","Área colhida (Hectares)","10249265"
"setembro 2006","Centro-Oeste","Produção (Toneladas)","25890677"
"outubro 2006","Brasil","Área colhida (Hectares)","22010658"
"outubro 2006","Brasil","Produção (Toneladas)","52356720"
"outubro 2006","Norte","Área colhida (Hectares)","478545"
"outubro 2006","Norte","Produção (Toneladas)","1184130"
"outubro 2006","Nordeste","Área colhida (Hectares)","1487495"
"outubro 2006","Nordeste","Produção (Toneladas)","3466628"
"outubro 2006","Sudeste","Área colhida (Hectares)","1661713"
"outubro 2006","Sudeste","Produção (Toneladas)","4102125"
"outubro 2006","Sul","Área colhida (Hectares)","8133640"
"outubro 2006","Sul","Produção (Toneladas)","17732952"
"outubro 2006","Centro-Oeste","Área colhida (Hectares)","10249265"
"outubro 2006","Centro-Oeste","Produção (Toneladas)","25870885"
"novembro 2006","Brasil","Área colhida (Hectares)","21955471"
"novembro 2006","Brasil","Produção (Toneladas)","52223579"
"novembro 2006","Norte","Área colhida (Hectares)","478545"
"novembro 2006","Norte","Produção (Toneladas)","1184130"
"novembro 2006","Nordeste","Área colhida (Hectares)","1487495"
"novembro 2006","Nordeste","Produção (Toneladas)","3466628"
"novembro 2006","Sudeste","Área colhida (Hectares)","1661713"
"novembro 2006","Sudeste","Produção (Toneladas)","4102125"
"novembro 2006","Sul","Área colhida (Hectares)","8078453"
"novembro 2006","Sul","Produção (Toneladas)","17599811"
"novembro 2006","Centro-Oeste","Área colhida (Hectares)","10249265"
"novembro 2006","Centro-Oeste","Produção (Toneladas)","25870885"
"dezembro 2006","Brasil","Área colhida (Hectares)","21958076"
"dezembro 2006","Brasil","Produção (Toneladas)","52234589"
"dezembro 2006","Norte","Área colhida (Hectares)","471150"
"dezembro 2006","Norte","Produção (Toneladas)","1161796"
"dezembro 2006","Nordeste","Área colhida (Hectares)","1487495"
"dezembro 2006","Nordeste","Produção (Toneladas)","3466628"
"dezembro 2006","Sudeste","Área colhida (Hectares)","1661713"
"dezembro 2006","Sudeste","Produção (Toneladas)","4102075"
"dezembro 2006","Sul","Área colhida (Hectares)","8078453"
"dezembro 2006","Sul","Produção (Toneladas)","17599811"
"dezembro 2006","Centro-Oeste","Área colhida (Hectares)","10259265"
"dezembro 2006","Centro-Oeste","Produção (Toneladas)","25904279"
"janeiro 2007","Brasil","Área colhida (Hectares)","20686139"
"janeiro 2007","Brasil","Produção (Toneladas)","56395247"
"janeiro 2007","Norte","Área colhida (Hectares)","460981"
"janeiro 2007","Norte","Produção (Toneladas)","1220484"
"janeiro 2007","Nordeste","Área colhida (Hectares)","1456816"
"janeiro 2007","Nordeste","Produção (Toneladas)","4204528"
"janeiro 2007","Sudeste","Área colhida (Hectares)","1478727"
"janeiro 2007","Sudeste","Produção (Toneladas)","3937217"
"janeiro 2007","Sul","Área colhida (Hectares)","8241567"
"janeiro 2007","Sul","Produção (Toneladas)","21292706"
"janeiro 2007","Centro-Oeste","Área colhida (Hectares)","9048048"
"janeiro 2007","Centro-Oeste","Produção (Toneladas)","25740312"
"fevereiro 2007","Brasil","Área colhida (Hectares)","20699897"
"fevereiro 2007","Brasil","Produção (Toneladas)","56699617"
"fevereiro 2007","Norte","Área colhida (Hectares)","462166"
"fevereiro 2007","Norte","Produção (Toneladas)","1211346"
"fevereiro 2007","Nordeste","Área colhida (Hectares)","1456816"
"fevereiro 2007","Nordeste","Produção (Toneladas)","4204528"
"fevereiro 2007","Sudeste","Área colhida (Hectares)","1474601"
"fevereiro 2007","Sudeste","Produção (Toneladas)","3909401"
"fevereiro 2007","Sul","Área colhida (Hectares)","8180315"
"fevereiro 2007","Sul","Produção (Toneladas)","21602683"
"fevereiro 2007","Centro-Oeste","Área colhida (Hectares)","9125999"
"fevereiro 2007","Centro-Oeste","Produção (Toneladas)","25771659"
"março 2007","Brasil","Área colhida (Hectares)","20667042"
"março 2007","Brasil","Produção (Toneladas)","56865475"
"março 2007","Norte","Área colhida (Hectares)","420481"
"março 2007","Norte","Produção (Toneladas)","1086598"
"março 2007","Nordeste","Área colhida (Hectares)","1456816"
"março 2007","Nordeste","Produção (Toneladas)","4004528"
"março 2007","Sudeste","Área colhida (Hectares)","1472901"
"março 2007","Sudeste","Produção (Toneladas)","3865876"
"março 2007","Sul","Área colhida (Hectares)","8190845"
"março 2007","Sul","Produção (Toneladas)","22136814"
"março 2007","Centro-Oeste","Área colhida (Hectares)","9125999"
"março 2007","Centro-Oeste","Produção (Toneladas)","25771659"
"abril 2007","Brasil","Área colhida (Hectares)","20560998"
"abril 2007","Brasil","Produção (Toneladas)","57171294"
"abril 2007","Norte","Área colhida (Hectares)","420481"
"abril 2007","Norte","Produção (Toneladas)","1086598"
"abril 2007","Nordeste","Área colhida (Hectares)","1456816"
"abril 2007","Nordeste","Produção (Toneladas)","4055528"
"abril 2007","Sudeste","Área colhida (Hectares)","1402545"
"abril 2007","Sudeste","Produção (Toneladas)","3883177"
"abril 2007","Sul","Área colhida (Hectares)","8198790"
"abril 2007","Sul","Produção (Toneladas)","22044161"
"abril 2007","Centro-Oeste","Área colhida (Hectares)","9082366"
"abril 2007","Centro-Oeste","Produção (Toneladas)","26101830"
"maio 2007","Brasil","Área colhida (Hectares)","20524453"
"maio 2007","Brasil","Produção (Toneladas)","58490235"
"maio 2007","Norte","Área colhida (Hectares)","414506"
"maio 2007","Norte","Produção (Toneladas)","1067805"
"maio 2007","Nordeste","Área colhida (Hectares)","1456816"
"maio 2007","Nordeste","Produção (Toneladas)","4055528"
"maio 2007","Sudeste","Área colhida (Hectares)","1401445"
"maio 2007","Sudeste","Produção (Toneladas)","3888505"
"maio 2007","Sul","Área colhida (Hectares)","8211050"
"maio 2007","Sul","Produção (Toneladas)","22969797"
"maio 2007","Centro-Oeste","Área colhida (Hectares)","9040636"
"maio 2007","Centro-Oeste","Produção (Toneladas)","26508600"
"junho 2007","Brasil","Área colhida (Hectares)","20518535"
"junho 2007","Brasil","Produção (Toneladas)","58263978"
"junho 2007","Norte","Área colhida (Hectares)","414006"
"junho 2007","Norte","Produção (Toneladas)","1070733"
"junho 2007","Nordeste","Área colhida (Hectares)","1451325"
"junho 2007","Nordeste","Produção (Toneladas)","3907047"
"junho 2007","Sudeste","Área colhida (Hectares)","1401395"
"junho 2007","Sudeste","Produção (Toneladas)","3818768"
"junho 2007","Sul","Área colhida (Hectares)","8211050"
"junho 2007","Sul","Produção (Toneladas)","22971649"
"junho 2007","Centro-Oeste","Área colhida (Hectares)","9040759"
"junho 2007","Centro-Oeste","Produção (Toneladas)","26495781"
"julho 2007","Brasil","Área colhida (Hectares)","20594285"
"julho 2007","Brasil","Produção (Toneladas)","58227761"
"julho 2007","Norte","Área colhida (Hectares)","414006"
"julho 2007","Norte","Produção (Toneladas)","1070733"
"julho 2007","Nordeste","Área colhida (Hectares)","1451480"
"julho 2007","Nordeste","Produção (Toneladas)","3907432"
"julho 2007","Sudeste","Área colhida (Hectares)","1401395"
"julho 2007","Sudeste","Produção (Toneladas)","3818768"
"julho 2007","Sul","Área colhida (Hectares)","8286645"
"julho 2007","Sul","Produção (Toneladas)","22935047"
"julho 2007","Centro-Oeste","Área colhida (Hectares)","9040759"
"julho 2007","Centro-Oeste","Produção (Toneladas)","26495781"
"agosto 2007","Brasil","Área colhida (Hectares)","20598570"
"agosto 2007","Brasil","Produção (Toneladas)","58238071"
"agosto 2007","Norte","Área colhida (Hectares)","415981"
"agosto 2007","Norte","Produção (Toneladas)","1077251"
"agosto 2007","Nordeste","Área colhida (Hectares)","1451480"
"agosto 2007","Nordeste","Produção (Toneladas)","3907432"
"agosto 2007","Sudeste","Área colhida (Hectares)","1403545"
"agosto 2007","Sudeste","Produção (Toneladas)","3829759"
"agosto 2007","Sul","Área colhida (Hectares)","8286645"
"agosto 2007","Sul","Produção (Toneladas)","22935047"
"agosto 2007","Centro-Oeste","Área colhida (Hectares)","9040919"
"agosto 2007","Centro-Oeste","Produção (Toneladas)","26488582"
"setembro 2007","Brasil","Área colhida (Hectares)","20628694"
"setembro 2007","Brasil","Produção (Toneladas)","58257945"
"setembro 2007","Norte","Área colhida (Hectares)","415981"
"setembro 2007","Norte","Produção (Toneladas)","1076251"
"setembro 2007","Nordeste","Área colhida (Hectares)","1451480"
"setembro 2007","Nordeste","Produção (Toneladas)","3907432"
"setembro 2007","Sudeste","Área colhida (Hectares)","1408045"
"setembro 2007","Sudeste","Produção (Toneladas)","3843259"
"setembro 2007","Sul","Área colhida (Hectares)","8286645"
"setembro 2007","Sul","Produção (Toneladas)","22935047"
"setembro 2007","Centro-Oeste","Área colhida (Hectares)","9066543"
"setembro 2007","Centro-Oeste","Produção (Toneladas)","26495956"
"outubro 2007","Brasil","Área colhida (Hectares)","20627804"
