"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Área colhida (Hectares)"
"Mês","","Produto das lavouras",""
"setembro 2006","Brasil","1.15 Soja","22010658"
"outubro 2006","Brasil","1.15 Soja","22010658"
"novembro 2006","Brasil","1.15 Soja","21955471"
"dezembro 2006","Brasil","1.15 Soja","21958076"
"janeiro 2007","Brasil","1.15 Soja","20686139"
"fevereiro 2007","Brasil","1.15 Soja","20699897"
"março 2007","Brasil","1.15 Soja","20667042"
"abril 2007","Brasil","1.15 Soja","20560998"
"maio 2007","Brasil","1.15 Soja","20524453"
"junho 2007","Brasil","1.15 Soja","20518535"
"julho 2007","Brasil","1.15 Soja","20594285"
"agosto 2007","Brasil","1.15 Soja","20598570"
"setembro 2007","Brasil","1.15 Soja","20628694"
"outubro 2007","Brasil","1.15 Soja","20627804"
"novembro 2007","Brasil","1.15 Soja","20637643"
"dezembro 2007","Brasil","1.15 Soja","20641063"
"janeiro 2008","Brasil","1.15 Soja","20902801"
"fevereiro 2008","Brasil","1.15 Soja","21015285"
"março 2008","Brasil","1.15 Soja","21113717"
"abril 2008","Brasil","1.15 Soja","21197060"
"maio 2008","Brasil","1.15 Soja","21212110"
"junho 2008","Brasil","1.15 Soja","21218730"
"julho 2008","Brasil","1.15 Soja","21295246"
"agosto 2008","Brasil","1.15 Soja","21309995"
"setembro 2008","Brasil","1.15 Soja","21276372"
"outubro 2008","Brasil","1.15 Soja","21276372"
"novembro 2008","Brasil","1.15 Soja","21272244"
"dezembro 2008","Brasil","1.15 Soja","21272244"
"janeiro 2009","Brasil","1.15 Soja","21492212"
"fevereiro 2009","Brasil","1.15 Soja","21521559"
"março 2009","Brasil","1.15 Soja","21579044"
"abril 2009","Brasil","1.15 Soja","21643726"
"maio 2009","Brasil","1.15 Soja","21710285"
"junho 2009","Brasil","1.15 Soja","21716253"
"julho 2009","Brasil","1.15 Soja","21710374"
"agosto 2009","Brasil","1.15 Soja","21707441"
"setembro 2009","Brasil","1.15 Soja","21709501"
"outubro 2009","Brasil","1.15 Soja","21730551"
"novembro 2009","Brasil","1.15 Soja","21735001"
"dezembro 2009","Brasil","1.15 Soja","21736341"
"janeiro 2010","Brasil","1.15 Soja","23036815"
"fevereiro 2010","Brasil","1.15 Soja","23019333"
"março 2010","Brasil","1.15 Soja","23136247"
"abril 2010","Brasil","1.15 Soja","23167725"
"maio 2010","Brasil","1.15 Soja","23317258"
"junho 2010","Brasil","1.15 Soja","23330979"
"julho 2010","Brasil","1.15 Soja","23319037"
"agosto 2010","Brasil","1.15 Soja","23396795"
"setembro 2010","Brasil","1.15 Soja","23404498"
"outubro 2010","Brasil","1.15 Soja","23325549"
"novembro 2010","Brasil","1.15 Soja","23309591"
"dezembro 2010","Brasil","1.15 Soja","23302621"
"janeiro 2011","Brasil","1.15 Soja","23663416"
"fevereiro 2011","Brasil","1.15 Soja","23719963"
"março 2011","Brasil","1.15 Soja","23781271"
"abril 2011","Brasil","1.15 Soja","23954132"
"maio 2011","Brasil","1.15 Soja","23991641"
"junho 2011","Brasil","1.15 Soja","24077701"
"julho 2011","Brasil","1.15 Soja","24058647"
"agosto 2011","Brasil","1.15 Soja","24070954"
"setembro 2011","Brasil","1.15 Soja","24062174"
"outubro 2011","Brasil","1.15 Soja","24048759"
"novembro 2011","Brasil","1.15 Soja","24050611"
"dezembro 2011","Brasil","1.15 Soja","24050231"
"janeiro 2012","Brasil","1.15 Soja","24661431"
"fevereiro 2012","Brasil","1.15 Soja","24562161"
"março 2012","Brasil","1.15 Soja","24741470"
"abril 2012","Brasil","1.15 Soja","24803079"
"maio 2012","Brasil","1.15 Soja","24849744"
"junho 2012","Brasil","1.15 Soja","24894775"
"julho 2012","Brasil","1.15 Soja","24928740"
"agosto 2012","Brasil","1.15 Soja","24952958"
"setembro 2012","Brasil","1.15 Soja","24878590"
"outubro 2012","Brasil","1.15 Soja","24922374"
"novembro 2012","Brasil","1.15 Soja","24911937"
"dezembro 2012","Brasil","1.15 Soja","24937753"
"janeiro 2013","Brasil","1.15 Soja","27365292"
"fevereiro 2013","Brasil","1.15 Soja","27448835"
